Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
31‑Dec‑2018,Brisbane,Hard,R16,35,40,Jeremy Chardy [FRA] d. (8)Kyrgios,6-7(5) 6-2 6-3,0.74,16.30%,7.50%,73.80%,81.40%,47.60%,2月5日,1:39
31‑Dec‑2018,Brisbane,Hard,R32,35,62,(8)Kyrgios d. Ryan Harrison [USA],7-6(5) 5-7 7-6(5),0.95,37.00%,2.50%,67.20%,78.80%,61.50%,1月2日,2:08
15‑Oct‑2018,Moscow,Hard,R32,37,78,(5)Kyrgios d. Andrey Rublev [RUS],6-3 4-6 6-4,1.26,29.40%,5.90%,75.30%,79.70%,38.10%,6月8日,1:27
8‑Oct‑2018,Shanghai Masters,Hard,R64,38,104,(Q)Bradley Klahn [USA] d. Kyrgios,4-6 6-4 6-3,0.62,17.10%,6.10%,68.30%,62.50%,65.40%,5月7日,1:17
1‑Oct‑2018,Tokyo,Hard,R16,27,25,(8)Richard Gasquet [FRA] d. Kyrgios,7-6(4) 7-6(1),0.47,26.20%,4.80%,71.40%,73.30%,54.20%,5月5日,1:16
1‑Oct‑2018,Tokyo,Hard,R32,27,95,Kyrgios d. (WC)Yoshihito Nishioka [JPN],7-5 7-6(3),1.3,27.00%,6.80%,67.60%,84.00%,50.00%,2月3日,1:13
27‑Aug‑2018,US Open,Hard,R32,30,2,(2)Roger Federer [SUI] d. (30)Kyrgios,6-4 6-1 7-5,0.68,13.80%,2.10%,60.60%,63.20%,59.50%,6月10日,1:44
27‑Aug‑2018,US Open,Hard,R64,30,75,(30)Kyrgios d. Pierre Hugues Herbert [FRA],4-6 7-6(6) 6-3 6-0,1.34,11.50%,9.80%,57.40%,81.40%,55.80%,4月6日,2:47
27‑Aug‑2018,US Open,Hard,R128,30,95,(30)Kyrgios d. Radu Albot [MDA],7-5 2-6 6-4 6-2,1,19.40%,10.90%,57.40%,74.30%,47.30%,12月15日,2:20
13‑Aug‑2018,Cincinnati Masters,Hard,R16,18,3,(4)Juan Martin Del Potro [ARG] d. (15)Kyrgios,7-6(4) 6-7(6) 6-2,0.81,30.20%,4.20%,61.50%,81.40%,62.20%,2月4日,2:16
