Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
20‑Nov‑2019,Davis Cup Finals RR: BEL vs AUS,Hard,RR,30,158,Kyrgios d. Steve Darcis [BEL],6-2 7-6(9),2.22,37.90%,5.20%,72.40%,100.00%,50.00%,0/0,1:26
19‑Nov‑2019,Davis Cup Finals RR: AUS vs COL,Hard,RR,30,470,Kyrgios d. Alejandro Gonzalez [COL],6-4 6-4,3.11,34.80%,2.20%,78.30%,88.90%,80.00%,0/0,1:11
23‑Sep‑2019,Zhuhai,Hard,R32,27,74,Andreas Seppi [ITA] d. (6)Kyrgios,7-6(5) 6-1,0.66,6.20%,3.10%,72.30%,68.10%,33.30%,3月6日,1:04
26‑Aug‑2019,US Open,Hard,R32,30,43,Andrey Rublev [RUS] d. (28)Kyrgios,7-6(5) 7-6(5) 6-3,0.68,28.60%,3.80%,64.80%,86.80%,40.50%,3月4日,1:51
26‑Aug‑2019,US Open,Hard,R64,30,104,(28)Kyrgios d. Antonie Hoang [FRA],6-4 6-2 6-4,1.54,30.00%,1.30%,70.00%,69.60%,75.00%,3月5日,1:58
26‑Aug‑2019,US Open,Hard,R128,30,86,(28)Kyrgios d. Steve Johnson [USA],6-3 7-6(1) 6-4,1.68,28.60%,9.50%,59.50%,88.00%,55.90%,3月4日,2:02
12‑Aug‑2019,Cincinnati Masters,Hard,R32,27,9,(8)Karen Khachanov [RUS] d. Kyrgios,6-7(3) 7-6(4) 6-2,0.75,18.10%,6.90%,61.20%,80.30%,44.40%,6月9日,2:13
12‑Aug‑2019,Cincinnati Masters,Hard,R64,27,47,Kyrgios d. Lorenzo Sonego [ITA],7-5 6-4,2.1,7.40%,1.90%,57.40%,93.50%,73.90%,0/0,1:19
5‑Aug‑2019,Canada Masters,Hard,R64,27,33,Kyle Edmund [GBR] d. Kyrgios,6-3 6-4,0.62,17.00%,1.90%,60.40%,78.10%,42.90%,2月4日,1:07
29‑Jul‑2019,Washington,Hard,F,52,10,Kyrgios d. (3)Daniil Medvedev [RUS],7-6(6) 7-6(4),0.94,24.30%,0.00%,68.90%,84.30%,65.20%,0/0,1:34
29‑Jul‑2019,Washington,Hard,SF,52,6,Kyrgios d. (1)Stefanos Tsitsipas [GRE],6-4 3-6 7-6(7),1,20.90%,3.30%,63.70%,82.80%,48.50%,6月8日,2:07
