Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,173,114,59,65.90%,279-161,63.40%,2412-2111,53.30%,67-47,58.80%,170,88.90%,17.20%,18.90%,4.40%,64.40%,78.60%,53.10%,69.50%,33.40%,51.50%,1.1
Clay,45,26,19,57.80%,63-49,56.30%,584-560,51.00%,10月23日,69.70%,43,84.70%,16.10%,13.00%,3.40%,66.20%,74.30%,52.50%,66.90%,33.00%,50.20%,1
Grass,36,22,14,61.10%,66-50,56.90%,642-600,51.70%,22-19,53.70%,33,88.90%,12.70%,19.10%,4.20%,68.30%,76.30%,53.50%,69.10%,30.30%,50.00%,0.98
Grand Slams,66,41,25,62.10%,134-99,57.50%,1250-1176,51.50%,41-27,60.30%,65,86.60%,15.60%,17.20%,3.80%,66.50%,75.70%,52.90%,68.10%,32.60%,50.50%,1.02
Masters,72,42,30,58.30%,97-66,59.50%,883-804,52.30%,27-19,58.70%,71,88.20%,15.90%,16.30%,4.40%,63.70%,77.20%,53.30%,68.50%,32.20%,50.80%,1.03
Other Tours,102,68,34,66.70%,148-84,63.80%,1276-1114,53.40%,38-26,59.40%,100,89.50%,16.70%,19.30%,4.60%,65.30%,78.80%,52.80%,69.80%,32.90%,51.40%,1.09
Best of 5,76,48,28,63.20%,157-110,58.80%,1442-1335,51.90%,46-31,59.70%,72,87.00%,16.30%,17.50%,3.70%,66.50%,76.20%,53.10%,68.40%,33.20%,50.80%,1.05
Best of 3,180,114,66,63.30%,251-155,61.80%,2216-1968,53.00%,66-47,58.40%,174,88.90%,16.30%,18.20%,4.50%,64.70%,78.30%,53.00%,69.30%,32.60%,51.10%,1.06
Finals,9,6,3,66.70%,12月7日,63.20%,98-96,50.50%,5-0,100.00%,9,88.30%,10.50%,21.80%,5.40%,64.90%,78.80%,50.50%,68.90%,32.10%,50.50%,1.03
Semi-finals,19,9,10,47.40%,22-24,47.80%,245-249,49.60%,7月8日,46.70%,19,86.30%,12.40%,17.50%,3.60%,65.70%,77.00%,50.70%,68.00%,30.00%,49.20%,0.94
Quarter-finals,26,19,7,73.10%,41-18,69.50%,327-271,54.70%,8月6日,57.10%,25,91.90%,17.30%,18.60%,3.60%,66.50%,78.70%,56.10%,71.10%,33.10%,52.20%,1.15
vs Righties,215,136,79,63.30%,345-221,61.00%,3082-2785,52.50%,100-63,61.30%,206,88.20%,16.30%,17.80%,4.20%,65.30%,77.60%,53.20%,69.20%,32.90%,51.10%,1.07
vs Lefties,39,24,15,61.50%,59-44,57.30%,551-507,52.10%,12月15日,44.40%,39,88.00%,15.80%,18.60%,4.60%,65.80%,76.10%,52.50%,68.00%,32.50%,50.60%,1.02
vs Top 10,54,21,33,38.90%,57-86,39.90%,707-807,46.70%,26-23,53.10%,52,83.90%,9.70%,16.40%,3.60%,66.10%,74.40%,49.90%,66.10%,28.70%,48.00%,0.85
