Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Canada R64,L vs Edmund,54% (7/13),#DIV/0!,0/0,0/0,50% (2/4),1月3日,1月2日,#DIV/0!,#DIV/0!
2019 Washington F,W vs Medvedev,85% (11/13),0% (0/3),2月2日,1月1日,75% (3/4),1月2日,1月1日,77% (10/13),42% (5/12)
2019 Washington SF,W vs Tsitsipas,67% (12/18),33% (2/6),2月3日,1月2日,73% (8/11),4月5日,1月1日,75% (6/8),38% (3/8)
2019 Washington QF,W vs Gombos,100% (9/9),50% (3/6),2月2日,1月1日,50% (1/2),0/0,0/0,#DIV/0!,#DIV/0!
2019 Washington R64,W vs Kwiatkowski,63% (10/16),60% (3/5),2月4日,1月1日,67% (2/3),0/0,0/0,#DIV/0!,#DIV/0!
2019 London R16,L vs Auger Aliassime,89% (17/19),#DIV/0!,1月1日,0/0,33% (1/3),0/2,0/1,64% (7/11),30% (3/10)
2019 London R32,W vs Carballes Baena,60% (9/15),50% (3/6),2月4日,1月1日,#DIV/0!,0/0,0/0,40% (2/5),83% (5/6)
2019 Stuttgart R32,L vs Berrettini,88% (7/8),#DIV/0!,0/0,0/0,33% (1/3),0/2,0/1,#DIV/0!,#DIV/0!
2019 Madrid R64,L vs Struff,56% (9/16),50% (1/2),0/0,0/0,33% (1/3),0/2,0/1,60% (3/5),17% (1/6)
2019 Miami R16,L vs Coric,69% (9/13),40% (2/5),1月2日,0/0,33% (2/6),0/2,0/1,#DIV/0!,#DIV/0!
2019 Miami R32,W vs Lajovic,70% (7/10),83% (5/6),2月2日,1月1日,86% (6/7),0/0,0/0,#DIV/0!,#DIV/0!
2019 Miami R64,W vs Bublik,73% (11/15),50% (2/4),2月2日,1月1日,100% (7/7),0/0,0/0,#DIV/0!,#DIV/0!
2019 Indian Wells R64,L vs Kohlschreiber,57% (8/14),0% (0/5),0/0,0/0,50% (2/4),0/2,0/1,#DIV/0!,#DIV/0!
2019 Acapulco F,W vs Zverev,75% (9/12),60% (3/5),2月2日,1月1日,88% (7/8),0/0,0/0,#DIV/0!,#DIV/0!
2019 Acapulco SF,W vs Isner,74% (17/23),25% (1/4),2月4日,1月3日,75% (3/4),0/1,0/0,75% (6/8),38% (3/8)
2019 Acapulco QF,W vs Wawrinka,76% (16/21),38% (3/8),2月4日,1月3日,0% (0/1),0/1,0/0,20% (1/5),40% (2/5)
2019 Acapulco R16,W vs Nadal,50% (15/30),0% (0/1),2月2日,1月1日,90% (9/10),3月4日,3月3日,92% (11/12),36% (4/11)
2019 Acapulco R32,W vs Seppi,75% (9/12),80% (4/5),2月2日,1月1日,80% (4/5),0/0,0/0,#DIV/0!,#DIV/0!
2019 Delray Beach R16,L vs Albot,71% (10/14),17% (1/6),1月2日,0/0,63% (5/8),1月3日,0/1,#DIV/0!,#DIV/0!
2019 Delray Beach R32,W vs Millman,63% (17/27),100% (1/1),2月3日,1月2日,100% (1/1),0/1,0/0,56% (5/9),33% (3/9)
2019 (23 matches),,69.80%,40.00%,62.70%,56.00%,67.60%,38.10%,40.00%,71.00%,35.40%
2018 (34 matches),,67.80%,43.40%,57.30%,52.30%,69.20%,37.50%,42.10%,71.00%,29.00%
2017 (41 matches),,70.20%,37.20%,53.10%,45.90%,63.80%,41.70%,31.60%,78.40%,34.30%
2016 (53 matches),,66.90%,37.40%,57.10%,54.20%,70.70%,47.40%,39.10%,73.90%,31.80%
2015 (21 matches),,67.80%,42.10%,62.00%,68.80%,65.40%,40.90%,47.40%,65.70%,36.20%
Career (215 matches),,68.50%,40.00%,56.70%,53.20%,66.80%,46.80%,45.50%,73.50%,33.50%
,,,,,,,,,,
,,,,,,,,,,
