Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,21,14,7,66.70%,28,17,11,60.70%,2014,2020,QF,21,1.07,17.90%,3.40%,66.80%,77.90%,54.00%,70.00%,32.00%,68.90%,41.90%
Roland Garros,5,Clay,11,6,5,54.50%,8,6,2,75.00%,2013,2017,R32,10,0.96,9.80%,4.10%,66.10%,71.30%,52.50%,64.90%,33.80%,61.00%,30.30%
Wimbledon,6,Grass,19,13,6,68.40%,24,13,11,54.20%,2014,2019,QF,19,0.99,18.50%,3.40%,69.00%,75.30%,53.70%,68.60%,31.00%,65.10%,42.00%
US Open,7,Hard,15,8,7,53.30%,8,5,3,62.50%,2013,2019,R32,15,1.03,18.90%,5.00%,62.50%,75.50%,50.60%,66.20%,34.90%,62.90%,33.30%
Acapulco,3,Hard,10,8,2,80.00%,5,4,1,80.00%,2017,2020,W,10,1.01,17.90%,3.90%,66.30%,78.10%,51.90%,69.30%,31.10%,73.80%,45.50%
Cincinnati Masters,5,Hard,14,9,5,64.30%,13,8,5,61.50%,2015,2019,F,14,1.02,20.70%,6.10%,61.50%,81.50%,52.70%,70.40%,30.10%,66.70%,33.90%
Canada Masters,6,Hard,11,5,6,45.50%,3,1,2,33.30%,2014,2019,R16,11,1.07,15.60%,7.10%,59.90%,80.00%,50.20%,68.10%,34.20%,56.30%,32.80%
Washington,2,Hard,7,6,1,85.70%,4,4,0,100.00%,2017,2019,W,7,1.09,25.30%,4.40%,64.30%,84.60%,45.10%,70.50%,32.20%,71.40%,48.30%
London,2,Grass,6,4,2,66.70%,10,6,4,60.00%,2018,2019,SF,6,1.1,22.70%,6.10%,66.40%,82.60%,52.50%,72.50%,30.10%,73.70%,24.00%
Stuttgart,2,Grass,4,2,2,50.00%,2,1,1,50.00%,2018,2019,SF,4,0.81,22.20%,6.60%,67.50%,77.80%,51.00%,69.10%,25.00%,50.00%,80.00%
