Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2019 Laver Cup RR,L vs Federer,3.8,4.1,3.4,45.00%,57.10%,43.80%,53.80%,48.40%,14.80%,6,6.1,-2,-2.1
2019 Cincinnati R32,L vs Khachanov,3.1,3.2,2.9,51.00%,41.70%,42.10%,33.30%,48.00%,8.70%,2,1.9,-14,-12.1
2019 Washington F,W vs Medvedev,3.1,3.1,3.2,48.50%,51.90%,55.60%,66.70%,51.70%,16.70%,-0.5,-0.8,-2.5,-4.2
2019 Washington SF,W vs Tsitsipas,3.3,2.8,3.7,45.70%,62.10%,46.20%,69.20%,53.30%,16.50%,10.5,12.5,6.5,8.9
2019 Wimbledon R64,L vs Nadal,3.3,3.1,3.6,49.40%,54.80%,20.00%,30.80%,59.00%,13.40%,-7.5,-5.1,-6,-5.9
2019 Queens Club R16,L vs Auger Aliassime,2.2,2.1,2.4,50.30%,40.70%,60.00%,50.00%,46.20%,27.10%,4,10.5,-6.5,-13.3
2019 Miami R16,L vs Coric,3.1,3.2,3,50.50%,35.10%,33.30%,50.00%,51.20%,22.60%,-7,-9.6,-6.5,-10.2
2019 Miami R64,W vs Bublik,3,2.8,3.2,56.00%,42.90%,47.10%,75.00%,45.90%,16.40%,10.5,21.9,-5.5,-9.2
2019 Acapulco F,W vs Zverev,3.8,3.9,3.5,57.10%,40.90%,41.70%,44.40%,58.70%,16.90%,2,2.4,-2,-3.4
2019 Acapulco SF,W vs Isner,2.8,2.8,2.7,51.90%,45.70%,33.30%,50.00%,45.80%,10.00%,3,4.3,2,2.1
2019 Acapulco QF,W vs Wawrinka,3.6,3.8,3.4,51.20%,53.70%,47.40%,45.50%,56.40%,10.30%,11,7.3,-2,-1.8
2019 Acapulco R16,W vs Nadal,3.1,3.1,3.1,48.20%,37.10%,56.50%,62.50%,58.60%,10.80%,-3,-2.1,-4.5,-4.6
2019 Delray Beach R16,L vs Albot,2.9,2.3,3.4,51.90%,37.00%,28.60%,20.00%,40.80%,26.40%,-2.5,-5,6,9.5
2018 Tokyo R32,W vs Nishioka,3.1,2.4,3.8,61.60%,35.30%,40.00%,60.00%,50.30%,26.70%,14,17.1,-2,-3
2018 US Open R32,L vs Federer,3,3.1,3,48.00%,41.70%,9.10%,50.00%,47.00%,17.00%,-2,-2.4,-3.5,-4
2018 Queens Club R16,W vs Edmund,2.6,2.2,3,56.30%,41.70%,43.80%,100.00%,45.40%,27.10%,1.5,2.5,0.5,0.6
2018 Stuttgart SF,L vs Federer,2.6,2.7,2.6,48.70%,22.90%,60.00%,100.00%,52.30%,17.10%,-11.5,-13.2,0,0
2018 Stuttgart QF,W vs Lopez,2.6,2.2,2.9,50.40%,52.60%,55.60%,100.00%,48.80%,10.60%,3,5.8,-1.5,-2.7
2018 Miami R16,L vs Zverev,4,3.5,4.6,48.60%,33.30%,30.80%,30.00%,47.10%,16.20%,-2.5,-3.4,-4,-4.9
2018 Davis Cup World Group R1 RR,L vs Zverev,3.7,3,4.3,39.60%,50.00%,42.90%,52.90%,47.20%,10.40%,4,3.5,-0.5,-0.4
Last 52 Weeks (8 matches),,3.1,3,3.2,49.50%,48.30%,40.50%,51.60%,51.20%,16.10%,2.3,2.8,-4.6,-5.9
Career (64 matches),,3.4,3.2,3.6,52.20%,47.50%,44.10%,44.30%,50.50%,12.50%,4.1,4.1,-0.5,-0.5
