Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Laver Cup RR,L vs Federer,36.60%,45.10%,55.30%,42.40%,51.10%,63.80%,65.20%,61.30%,50.00%,32.30%,100.00%,20.00%,23.30%,45.80%,70
2019 Cincinnati R32,L vs Khachanov,37.10%,50.90%,52.30%,42.30%,50.70%,66.20%,60.00%,59.30%,31.30%,48.70%,50.00%,18.90%,32.40%,43.30%,53
2019 Washington F,W vs Medvedev,47.30%,58.10%,59.00%,53.80%,58.80%,70.60%,61.90%,68.20%,52.40%,43.30%,-,21.70%,30.40%,55.60%,-79
2019 Washington SF,W vs Tsitsipas,42.90%,56.00%,54.20%,48.70%,58.60%,70.70%,62.50%,67.80%,48.00%,39.40%,66.70%,17.20%,34.50%,45.80%,54
2019 Wimbledon R64,L vs Nadal,41.80%,54.90%,51.50%,49.20%,51.10%,64.80%,51.20%,61.40%,39.40%,34.50%,50.00%,19.40%,32.30%,52.00%,55
2019 Queens Club R16,L vs Auger Aliassime,51.40%,65.40%,51.00%,57.80%,58.30%,72.20%,50.00%,67.80%,51.60%,39.00%,-,40.60%,56.30%,52.60%,51
2019 Miami R16,L vs Coric,41.00%,48.70%,32.60%,44.50%,56.00%,62.00%,36.40%,61.40%,43.50%,37.00%,-,16.00%,28.00%,28.60%,33
2019 Miami R64,W vs Bublik,39.70%,54.80%,56.10%,47.50%,46.30%,63.00%,72.40%,56.90%,48.30%,52.00%,80.00%,25.00%,37.50%,16.70%,113
2019 Acapulco F,W vs Zverev,40.80%,50.70%,40.50%,47.50%,53.30%,68.90%,52.40%,63.80%,45.80%,47.60%,66.70%,23.80%,23.80%,25.00%,93
2019 Acapulco SF,W vs Isner,46.70%,57.90%,50.00%,52.10%,59.70%,70.80%,55.20%,67.80%,45.50%,51.30%,100.00%,20.60%,32.40%,44.40%,-36
2019 Acapulco QF,W vs Wawrinka,33.00%,42.60%,57.40%,38.70%,46.80%,56.50%,63.60%,55.50%,48.10%,37.10%,-,6.70%,16.70%,50.00%,-49
2019 Acapulco R16,W vs Nadal,33.90%,52.00%,55.10%,41.90%,48.70%,71.80%,65.00%,61.80%,32.40%,50.00%,75.00%,11.60%,23.30%,44.70%,-6
2019 Delray Beach R16,L vs Albot,52.20%,60.90%,36.70%,56.10%,68.20%,75.00%,35.70%,74.30%,45.50%,50.00%,100.00%,27.30%,40.90%,37.50%,103
2018 Tokyo R32,W vs Nishioka,41.90%,62.20%,60.50%,51.80%,52.00%,74.00%,66.70%,66.60%,60.00%,30.00%,-,26.30%,47.40%,50.00%,111
2018 US Open R32,L vs Federer,38.30%,44.70%,39.30%,41.30%,52.60%,56.10%,22.20%,57.50%,22.20%,33.30%,60.00%,17.10%,28.60%,55.20%,3
2018 Queens Club R16,W vs Edmund,57.80%,66.70%,54.10%,61.90%,67.10%,76.70%,62.50%,72.70%,38.70%,40.50%,0.00%,43.50%,52.20%,38.50%,234
2018 Stuttgart SF,L vs Federer,42.90%,52.70%,46.40%,46.60%,53.80%,61.50%,41.70%,59.20%,18.80%,43.50%,100.00%,23.10%,42.30%,55.00%,76
2018 Stuttgart QF,W vs Lopez,52.10%,64.40%,60.00%,56.30%,61.20%,71.40%,63.20%,67.60%,36.40%,33.30%,0.00%,42.10%,63.20%,54.50%,237
2018 Miami R16,L vs Zverev,30.80%,41.50%,38.60%,34.80%,43.90%,53.70%,26.10%,50.20%,47.10%,50.00%,66.70%,8.70%,21.70%,52.40%,-26
2018 Davis Cup World Group R1 RR,L vs Zverev,37.50%,42.50%,40.50%,41.60%,55.10%,61.20%,36.40%,61.80%,44.00%,45.80%,100.00%,13.00%,17.40%,45.00%,-4
Last 52 Weeks (8 matches),,42.30%,54.50%,51.50%,48.30%,53.80%,66.80%,57.30%,63.00%,44.80%,40.20%,71.40%,22.40%,34.50%,43.90%,84
Career (64 matches),,40.60%,51.50%,51.20%,46.10%,51.70%,63.60%,54.20%,60.20%,43.50%,40.30%,59.30%,23.00%,33.50%,47.20%,103
