TOTALS,Match,Tiebreak,Ace%,1stIn,1st%,2nd%,Hld%,SPW,Brk%,RPW,TPW,DR
Last 52,17-7 (71%),14-9 (61%),22.90%,68.20%,81.30%,51.50%,91.40%,71.80%,15.60%,31.40%,51.40%,1.11
  Hard,17-7 (71%),14-9 (61%),22.90%,68.20%,81.30%,51.50%,91.40%,71.80%,15.60%,31.40%,51.40%,1.11
  Clay,0-0 (-),0-0 (-),-,-,-,-,-,-,-,-,-,-
  Grass,0-0 (-),0-0 (-),-,-,-,-,-,-,-,-,-,-
  Grand Slams,5-2 (71%),5-6 (45%),22.20%,68.90%,80.50%,51.60%,93.20%,71.50%,16.50%,32.20%,51.60%,1.13
  vs Top 10,3-3 (50%),6-4 (60%),20.20%,69.00%,77.30%,50.00%,88.90%,68.80%,5.40%,25.20%,47.90%,0.81
  vs Righties,14-5 (74%),14-7 (67%),23.50%,67.60%,82.40%,53.80%,91.90%,73.10%,13.60%,30.80%,51.50%,1.14
  vs Lefties,2-2 (50%),0-2 (0%),20.30%,74.10%,74.50%,41.90%,88.40%,66.10%,25.00%,32.80%,50.60%,0.97
  Best of 3,12-5 (71%),9-3 (75%),23.50%,67.70%,81.90%,51.40%,90.10%,72.00%,15.00%,30.90%,51.20%,1.1
  Best of 5,5-2 (71%),5-6 (45%),22.20%,68.90%,80.50%,51.60%,93.20%,71.50%,16.50%,32.20%,51.60%,1.13
2019,23-14 (62%),19-11 (63%),20.70%,66.30%,79.60%,50.70%,88.60%,69.90%,13.50%,29.90%,50.10%,0.99
2018,25-13 (66%),17-16 (52%),22.10%,64.80%,79.00%,53.80%,89.90%,70.10%,14.00%,31.00%,50.70%,1.04
2017,31-17 (65%),17-8 (68%),18.10%,63.90%,79.30%,54.50%,89.00%,70.40%,18.60%,35.00%,52.40%,1.18
2016,39-15 (72%),18-11 (62%),17.40%,66.50%,75.90%,55.20%,88.60%,69.00%,20.10%,35.70%,52.20%,1.15
2015,24-19 (56%),18-17 (51%),13.80%,64.10%,75.50%,52.70%,86.90%,67.30%,16.90%,33.10%,50.60%,1.01
2014,26-12 (68%),19-11 (63%),14.80%,64.10%,76.20%,53.60%,86.40%,68.10%,18.10%,34.50%,51.10%,1.08
2013,30-11 (73%),12-5 (71%),9.50%,63.70%,74.90%,50.20%,81.30%,65.90%,19.80%,35.70%,50.70%,1.05
2012,9-8 (53%),2-3 (40%),3.90%,59.20%,62.30%,35.70%,57.10%,51.50%,20.00%,35.90%,44.10%,0.74
Career,213-112 (66%),129-87 (60%),17.20%,65.10%,77.30%,53.20%,87.80%,68.90%,17.10%,33.40%,51.20%,1.07
